metric,mean,std,ci_95,n_folds,fold_1,fold_2,fold_3,fold_4,fold_5
precision_all,0.7102602332956166,0.06458610516546286,0.05661221724835469,5,0.8253064800233109,0.6449837304133105,0.671298200093648,0.6749923456637793,0.7347204102840342
recall_all,0.5938703290821972,0.09188769309533724,0.08054311419827034,5,0.637380794186404,0.5433039294306334,0.44460326535798234,0.7124516448767251,0.6316120115592411
mAP50_all,0.5760163795698522,0.10249881750465889,0.08984417483307494,5,0.7461191025002293,0.4911108647050771,0.4588528769345859,0.6247710602523171,0.5592279934570511
mAP50-95_all,0.3146499195664582,0.0540383651461342,0.04736671548100688,5,0.40840383513730455,0.25019620224644773,0.2774783742775639,0.3296296717215793,0.30754151444939576
precision_Paranemonia_sp,0.6086886472339443,0.16758803058444982,0.1468973856120403,5,0.8122145268402619,0.5990563316694785,0.6693113642602161,0.658699782547662,0.304161230852103
recall_Paranemonia_sp,0.5181369653809621,0.14871516552143763,0.13035459000129845,5,0.33149722126888953,0.5348837209302325,0.3893653516295026,0.5829596412556054,0.7519788918205804
mAP50_Paranemonia_sp,0.49285935273715065,0.04117396548041469,0.03609057200123531,5,0.5207319309279429,0.45012015193705956,0.4365586308037576,0.5192020696458403,0.537683980371153
mAP50-95_Paranemonia_sp,0.19170506288380165,0.019669998262861307,0.017241513667359775,5,0.19586700180292085,0.17476082174666077,0.17110178949935828,0.19039338024410318,0.2264023211259651
precision_Anemonia_sp,0.8218173338245874,0.09612428471449387,0.08425665048477968,5,0.9391097694119145,0.6909111291571425,0.7299160245470435,0.8491497460068366,0.9
recall_Anemonia_sp,0.6048132359795029,0.11866004715047017,0.10401011720357835,5,0.5806451612903226,0.5517241379310345,0.4444444444444444,0.8043952933745697,0.6428571428571429
mAP50_Anemonia_sp,0.6276342796980567,0.12593622574582522,0.11038796894619032,5,0.722625376572745,0.5321015774730946,0.445,0.7934444444444444,0.645
mAP50-95_Anemonia_sp,0.37783878869961696,0.10152130645976051,0.0889873486241763,5,0.4323445036089928,0.3256315827462348,0.21583333333333332,0.5161623015873016,0.39922222222222226
precision_Brachyura_sp,0.71409746593207,0.1806474466224114,0.17703449768996316,4,0.7245951438177562,,0.6146672114736846,0.517127508436839,1.0
recall_Brachyura_sp,0.6875,0.2072890493972125,0.20314326840926825,4,1.0,,0.5,0.75,0.5
mAP50_Brachyura_sp,0.6366666666666667,0.20866640042581522,0.20449307241729892,4,0.995,,0.495,0.5616666666666668,0.495
mAP50-95_Brachyura_sp,0.4054583333333333,0.1276856695496144,0.12513195615862213,4,0.597,,0.4455,0.2823333333333334,0.297
