epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9425,3.58512,6.53109,2.15193,0.00642,0.07352,0.0059,0.00182,3.171,inf,1.644,0.085126,0.000126,0.000126
2,40.0204,2.93395,5.04601,1.51926,0.11016,0.05237,0.01669,0.00448,2.97174,22.7907,1.38791,0.0692604,0.000260382,0.000260382
3,55.9742,2.73073,3.75372,1.46,0.08462,0.08067,0.05262,0.01554,2.65922,17.8815,1.2593,0.0533947,0.000394693,0.000394693
4,70.8931,2.67192,3.64891,1.35975,0.07607,0.10126,0.04973,0.01543,2.73756,19.146,1.36952,0.0375289,0.000528878,0.000528878
5,82.2023,2.59843,3.6367,1.31421,0.42733,0.21058,0.1149,0.03825,2.54382,16.3118,1.36286,0.0216629,0.000662882,0.000662882
6,94.7208,2.4603,3.38897,1.35216,0.22436,0.17526,0.14316,0.05135,2.31549,5.51029,1.26683,0.00579665,0.00079665,0.00079665
7,105.589,2.5185,3.38838,1.26002,0.3472,0.17666,0.1765,0.06087,2.2849,5.61883,1.21743,0.000837955,0.000837955,0.000837955
8,128.493,2.32776,3.17158,1.26305,0.15346,0.33346,0.18687,0.0737,2.22995,4.87129,1.24583,0.000837217,0.000837217,0.000837217
9,139.205,2.33789,3.06425,1.25976,0.34455,0.33153,0.27312,0.10674,2.24579,3.72693,1.25545,0.000836366,0.000836366,0.000836366
10,150.093,2.35468,2.94721,1.27234,0.31299,0.49246,0.36914,0.14524,2.18233,3.00957,1.20891,0.000835403,0.000835403,0.000835403
11,168.446,2.46209,3.08463,1.29579,0.38921,0.40882,0.29016,0.11446,2.20045,3.22302,1.19838,0.000834327,0.000834327,0.000834327
12,179.571,2.42089,3.02177,1.23638,0.3902,0.34701,0.33428,0.14304,2.15145,3.04146,1.1938,0.000833139,0.000833139,0.000833139
13,197.557,2.2392,2.86139,1.30223,0.74846,0.24587,0.29018,0.11167,2.12203,2.69488,1.18741,0.000831839,0.000831839,0.000831839
14,213.569,2.24844,2.87398,1.26733,0.30679,0.39755,0.36775,0.1486,2.1051,2.85925,1.16578,0.000830428,0.000830428,0.000830428
15,219.948,2.2117,2.80886,1.21713,0.52801,0.4272,0.43594,0.18294,2.10447,2.68075,1.1775,0.000828905,0.000828905,0.000828905
16,235.847,2.24966,2.8427,1.30914,0.54046,0.43111,0.41176,0.16866,2.1536,2.43421,1.20784,0.000827272,0.000827272,0.000827272
17,246.196,2.28675,2.9521,1.26314,0.70043,0.48733,0.52486,0.21038,2.10915,2.68496,1.20934,0.000825529,0.000825529,0.000825529
18,263.171,2.11858,2.72059,1.30189,0.49145,0.52688,0.46983,0.18321,2.25582,2.41819,1.24006,0.000823675,0.000823675,0.000823675
19,277.4,2.25183,2.77309,1.25148,0.53905,0.4532,0.44621,0.19224,2.08911,2.42286,1.17854,0.000821713,0.000821713,0.000821713
20,295.506,2.20199,2.76215,1.26667,0.50905,0.4027,0.43424,0.20037,2.06502,2.28289,1.18232,0.000819642,0.000819642,0.000819642
21,305.802,2.30159,2.77804,1.20661,0.5183,0.52631,0.41093,0.18255,2.05265,2.3542,1.16609,0.000817463,0.000817463,0.000817463
22,315.891,2.19331,2.71374,1.2137,0.51046,0.43504,0.44026,0.20107,2.04174,2.28073,1.15446,0.000815176,0.000815176,0.000815176
23,334.697,2.15356,2.65657,1.22836,0.58205,0.4424,0.43599,0.20315,2.21866,2.21629,1.24367,0.000812782,0.000812782,0.000812782
24,351.76,2.1166,2.76273,1.27561,0.4725,0.45129,0.43936,0.20677,2.12723,2.20599,1.20359,0.000810282,0.000810282,0.000810282
25,358.625,2.14469,2.53823,1.2016,0.53024,0.52815,0.50024,0.22893,2.11457,2.7377,1.20886,0.000807676,0.000807676,0.000807676
