epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75614,3.65971,4.26619,2.28105,0.00218,0.37552,0.00377,0.00169,3.91894,4.08099,2.21515,3.36e-05,3.36e-05,0.0960336
2,4.52707,3.37666,3.63004,2.08305,0.01637,0.02516,0.00403,0.00095,3.24852,18.0241,1.40631,7.55815e-05,7.55815e-05,0.0910756
3,6.47929,2.82291,2.50756,1.59647,0.00564,0.01429,0.00139,0.00032,3.89102,68.2834,1.47331,0.000117485,0.000117485,0.0861175
4,8.46633,2.61684,2.18035,1.43152,0.00687,0.01887,0.0009,0.00017,3.9999,41.01,1.49698,0.000159249,0.000159249,0.0811592
5,10.5106,2.62053,2.16291,1.36787,0.01209,0.02058,0.00191,0.00042,4.038,10.6047,1.65772,0.000200813,0.000200813,0.0762008
6,12.3734,2.44453,1.94234,1.28526,0.01702,0.02664,0.00444,0.00109,3.60781,5.76729,1.50019,0.000242115,0.000242115,0.0712421
7,14.1541,2.3829,1.77015,1.31513,0.39992,0.06861,0.03567,0.0095,2.90179,3.52934,1.34365,0.000283095,0.000283095,0.0662831
8,15.9865,2.38486,1.70946,1.27355,0.42035,0.07604,0.05037,0.01467,2.67464,2.79754,1.31284,0.000323693,0.000323693,0.0613237
9,17.7516,2.28157,1.75445,1.26538,0.10542,0.06804,0.05954,0.01956,2.65701,3.91715,1.30657,0.00036385,0.00036385,0.0563639
10,19.3822,2.29273,1.5873,1.24075,0.35999,0.19202,0.21555,0.08107,2.7733,3.2598,1.31951,0.000403507,0.000403507,0.0514035
11,20.9591,2.27182,1.68361,1.23673,0.15344,0.40823,0.18697,0.09936,2.91419,3.16574,1.34286,0.000442607,0.000442607,0.0464426
12,22.612,2.25224,1.5778,1.19699,0.19076,0.26215,0.27472,0.14311,2.99056,4.69821,1.34978,0.000481091,0.000481091,0.0414811
13,24.2067,2.26803,1.55191,1.21391,0.24239,0.27587,0.19519,0.09044,2.9483,4.11569,1.31338,0.000518906,0.000518906,0.0365189
