epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85734,3.40969,3.58094,1.93821,0.00166,0.00556,6e-05,1e-05,5.05435,48.6239,2.35649,0.0001428,0.0001428,0.0831428
2,13.6938,2.6769,2.20468,1.44816,0.05567,0.05157,0.01567,0.00349,3.32955,6.03164,1.53237,0.000293928,0.000293928,0.0652939
3,18.3223,2.44699,2.00537,1.34828,0.15838,0.10996,0.07742,0.02301,2.65219,5.61647,1.29999,0.000444765,0.000444765,0.0474448
4,22.6851,2.41759,1.90671,1.30566,0.3845,0.2503,0.20676,0.0787,2.56185,3.82496,1.30416,0.000595089,0.000595089,0.0295951
5,26.8394,2.33019,1.7487,1.24187,0.35486,0.20286,0.20506,0.07087,2.43015,3.96637,1.28202,0.000744681,0.000744681,0.0117447
6,30.9965,2.28836,1.78254,1.25926,0.28674,0.41427,0.28058,0.11065,2.1415,3.3733,1.17624,0.000834879,0.000834879,0.000834879
7,35.09,2.27858,1.67369,1.24839,0.40418,0.48869,0.37884,0.15595,2.1937,2.83097,1.18862,0.000832632,0.000832632,0.000832632
8,39.1429,2.28714,1.70813,1.23934,0.5241,0.38006,0.39386,0.1674,2.1984,2.02901,1.20165,0.000829983,0.000829983,0.000829983
9,43.1521,2.24489,1.64166,1.22087,0.26528,0.44596,0.31191,0.12286,2.16723,2.03147,1.17849,0.000826932,0.000826932,0.000826932
10,47.1564,2.21614,1.6523,1.2031,0.44308,0.51452,0.50917,0.19661,2.02747,1.8194,1.16642,0.000823484,0.000823484,0.000823484
11,51.2344,2.19759,1.61979,1.21014,0.68053,0.50408,0.55542,0.20871,2.13399,1.67849,1.18537,0.000819642,0.000819642,0.000819642
12,55.3662,2.17823,1.59735,1.19571,0.60449,0.41105,0.48495,0.20537,2.23906,1.62471,1.19886,0.000815409,0.000815409,0.000815409
13,59.314,2.14946,1.50914,1.2045,0.4344,0.45172,0.41855,0.18716,2.04448,1.55165,1.15782,0.00081079,0.00081079,0.00081079
14,63.3668,2.10677,1.47115,1.18449,0.47618,0.662,0.54177,0.25049,2.04157,1.496,1.15401,0.00080579,0.00080579,0.00080579
15,67.4725,2.10329,1.44722,1.16505,0.56876,0.57711,0.53544,0.24417,2.09988,1.79942,1.13849,0.000800413,0.000800413,0.000800413
16,71.4961,2.09297,1.43764,1.1635,0.63644,0.74971,0.72796,0.3338,1.95185,1.65486,1.10668,0.000794664,0.000794664,0.000794664
17,75.4368,2.10633,1.46016,1.17,0.71281,0.7059,0.74245,0.36282,1.90021,1.4226,1.10275,0.00078855,0.00078855,0.00078855
18,79.6527,2.07593,1.42634,1.16147,0.59866,0.69118,0.65784,0.31656,1.95722,1.41159,1.11523,0.000782075,0.000782075,0.000782075
19,83.8345,2.02996,1.40285,1.15314,0.68038,0.67503,0.71979,0.34555,1.88246,1.28188,1.10108,0.000775248,0.000775248,0.000775248
20,87.9998,2.00186,1.35604,1.16057,0.7424,0.62794,0.7102,0.36175,1.93401,1.35579,1.09558,0.000768074,0.000768074,0.000768074
21,91.8547,2.03454,1.34287,1.13371,0.77112,0.59402,0.70745,0.36873,1.95148,1.42765,1.10782,0.00076056,0.00076056,0.00076056
22,95.7228,1.98762,1.34434,1.13703,0.77113,0.68439,0.77864,0.38221,2.0032,1.28274,1.11969,0.000752715,0.000752715,0.000752715
23,99.5503,1.97924,1.29734,1.11791,0.66546,0.72829,0.75776,0.36364,1.88782,1.23529,1.09214,0.000744545,0.000744545,0.000744545
24,103.365,2.00245,1.35938,1.13956,0.79916,0.66305,0.74348,0.34713,2.09403,1.40231,1.12056,0.000736058,0.000736058,0.000736058
25,107.18,1.99688,1.32204,1.11335,0.76762,0.58994,0.67937,0.3263,2.24841,1.50487,1.16642,0.000727264,0.000727264,0.000727264
